"","playerID","yearID","stint","AB","R","H","X2B","X3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP","batav"
"1","aasedo01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","abregjo01",1985,1,9,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
"3","ackerji01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","adamsri02",1985,1,121,12,23,3,1,2,10,1,1,5,23,3,1,3,0,2,0.190082644628099
"5","agostju01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","aguaylu01",1985,1,165,27,46,7,3,6,21,1,0,22,26,5,6,4,3,7,0.278787878787879
"7","aguilri01",1985,1,36,1,10,2,0,0,2,0,0,1,5,0,0,7,0,1,0.277777777777778
"8","aikenwi01",1985,1,20,2,4,1,0,1,5,0,0,3,6,0,0,0,1,1,0.2
"9","alexado01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","allenga01",1985,1,34,2,4,1,0,0,3,0,0,0,10,0,0,0,0,1,0.117647058823529
"11","allenne01",1985,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"12","allenne01",1985,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","almonbi01",1985,1,244,33,66,17,0,6,29,10,7,22,61,0,1,4,3,6,0.270491803278689
"14","anderda02",1985,1,221,24,44,6,0,4,18,5,4,35,42,3,1,4,1,4,0.199095022624434
"15","anderla02",1985,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"16","andujjo01",1985,1,94,2,10,2,0,0,8,3,1,5,50,0,0,7,0,2,0.106382978723404
"17","armasto01",1985,1,385,50,102,17,5,23,64,0,0,18,90,4,2,0,5,14,0.264935064935065
"18","armstmi01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","ashbyal01",1985,1,189,20,53,8,0,8,25,0,0,24,27,2,1,1,1,9,0.28042328042328
"20","atherke01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","ayalabe01",1985,1,76,10,19,7,0,2,15,0,0,4,17,1,0,0,1,2,0.25
"22","backmwa01",1985,1,520,77,142,24,5,1,38,30,12,36,72,1,1,14,3,3,0.273076923076923
"23","bailema01",1985,1,332,47,88,14,0,10,45,0,2,67,70,13,1,1,1,16,0.265060240963855
"24","bailobo01",1985,1,118,8,29,3,1,0,7,1,0,3,5,0,1,8,0,3,0.245762711864407
"25","baineha01",1985,1,640,86,198,29,3,22,113,1,1,42,89,8,1,0,10,23,0.309375
"26","bairdo01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","bairdo01",1985,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","bakerdo01",1985,1,27,4,5,1,0,0,1,0,0,0,9,0,0,0,0,0,0.185185185185185
"29","bakerdu01",1985,1,343,48,92,15,1,14,52,2,1,50,47,0,0,0,3,12,0.268221574344023
"30","balbost01",1985,1,600,74,146,28,2,36,88,1,1,52,166,4,5,0,5,14,0.243333333333333
"31","balleja01",1985,1,8,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0
"32","bandoch01",1985,1,173,11,24,4,1,0,13,0,1,22,21,0,0,2,2,6,0.138728323699422
"33","bannial01",1985,1,122,17,32,4,1,1,6,8,2,14,17,0,0,1,0,1,0.262295081967213
"34","bannifl01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","barfije01",1985,1,539,94,156,34,9,27,84,22,8,66,143,5,4,0,3,14,0.289424860853432
"36","barkele01",1985,1,17,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0
"37","barklje01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","barnesk01",1985,1,26,0,4,1,0,0,0,0,1,0,2,0,0,0,0,1,0.153846153846154
"39","barojsa01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","barrema02",1985,1,534,59,142,26,0,5,56,7,5,56,50,3,2,12,4,14,0.265917602996255
"41","basske01",1985,1,539,72,145,27,5,16,68,19,8,31,63,1,6,4,2,10,0.269016697588126
"42","baylodo01",1985,1,477,70,110,24,1,23,91,0,4,52,90,6,24,1,10,10,0.230607966457023
"43","beanebi01",1985,1,8,0,2,1,0,0,1,0,0,0,3,0,0,0,0,0,0.25
"44","beardda01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","beattji01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","beckwjo01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","bedrost01",1985,1,64,3,5,0,0,0,1,0,0,1,22,0,0,6,0,0,0.078125
"48","behenri01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","bellbu01",1985,1,313,33,74,13,3,4,32,3,2,33,21,1,1,0,4,14,0.236421725239617
"50","bellbu01",1985,2,247,28,54,15,2,6,36,0,1,34,27,2,0,1,2,10,0.218623481781377
"51","beller01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","bellge02",1985,1,607,87,167,28,6,28,95,21,6,43,90,6,8,0,8,8,0.275123558484349
"53","bellira01",1985,1,20,1,4,0,0,0,1,0,0,0,5,0,0,0,0,0,0.2
"54","benedbr01",1985,1,208,12,42,6,0,0,20,0,1,22,12,1,1,4,2,8,0.201923076923077
"55","beniqju01",1985,1,411,54,125,13,5,8,42,4,3,34,46,3,5,9,1,16,0.304136253041363
"56","bentobu01",1985,1,67,5,12,4,0,0,7,0,0,3,9,2,0,1,2,1,0.17910447761194
"57","berenbr01",1985,1,4,1,1,1,0,0,1,0,0,0,2,0,0,2,0,0,0.25
"58","berenju01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","bergmda01",1985,1,140,8,25,2,0,3,7,0,0,14,15,0,0,1,2,6,0.178571428571429
"60","bernato01",1985,1,500,73,137,26,3,11,59,17,9,69,72,2,1,5,4,11,0.274
"61","berrada01",1985,1,109,8,25,5,1,1,8,1,1,7,20,0,0,2,0,2,0.229357798165138
"62","bestka01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","bevacku01",1985,1,138,17,33,6,0,3,25,0,0,25,17,5,0,1,3,3,0.239130434782609
"64","biancbu01",1985,1,138,21,26,5,1,1,6,1,4,17,34,0,0,5,0,1,0.188405797101449
"65","bielemi01",1985,1,10,1,0,0,0,0,0,0,0,1,5,0,0,1,0,0,0
"66","bilarda01",1985,1,102,6,17,0,0,1,9,0,0,4,15,1,1,1,0,5,0.166666666666667
"67","birtsti01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","blackbu02",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","blockte01",1985,1,15,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0.0666666666666667
"70","bluevi01",1985,1,30,0,4,1,0,0,0,0,0,3,12,0,0,8,0,0,0.133333333333333
"71","blylebe01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","blylebe01",1985,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","bochtbr01",1985,1,424,48,125,17,1,14,60,3,1,49,58,6,0,0,1,14,0.294811320754717
"74","bochybr01",1985,1,112,16,30,2,0,6,13,0,0,6,30,1,0,2,0,1,0.267857142857143
"75","boddimi01",1985,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","boevejo01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77","boggsto01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","boggswa01",1985,1,653,107,240,42,3,8,78,2,1,96,61,5,4,3,2,20,0.367534456355283
"79","bonilju01",1985,1,16,0,2,1,0,0,2,0,0,0,3,0,0,0,0,0,0.125
"80","bonneba01",1985,1,111,9,27,8,0,1,10,1,2,6,19,1,0,0,0,1,0.243243243243243
"81","bookegr01",1985,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82","boonebo01",1985,1,460,37,114,17,0,5,55,1,2,37,35,2,3,16,4,12,0.247826086956522
"83","bordiri01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","bosleth01",1985,1,180,25,59,6,3,7,27,5,1,20,29,1,0,0,2,3,0.327777777777778
"85","bostoda01",1985,1,232,20,53,13,1,3,15,8,6,14,44,1,0,1,1,3,0.228448275862069
"86","botelde01",1985,1,14,2,2,0,0,0,0,0,0,1,5,0,0,0,0,0,0.142857142857143
"87","bowala01",1985,1,195,13,48,6,4,0,13,5,1,11,20,2,0,5,1,3,0.246153846153846
"88","bowala01",1985,2,19,2,2,1,0,0,2,0,0,2,2,0,0,1,0,0,0.105263157894737
"89","boydoi01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90","bradlph01",1985,1,641,100,192,33,8,26,88,22,9,55,129,4,12,4,2,14,0.299531981279251
"91","bradlsc01",1985,1,49,4,8,2,1,0,1,0,0,1,5,0,1,0,0,2,0.163265306122449
"92","braunst01",1985,1,67,7,16,4,0,1,6,0,0,10,9,1,1,0,1,0,0.238805970149254
"93","breamsi01",1985,1,53,4,7,0,0,3,6,0,0,7,10,3,0,2,1,0,0.132075471698113
"94","breamsi01",1985,2,95,14,27,7,0,3,15,0,2,11,14,2,0,1,1,4,0.284210526315789
"95","brenlbo01",1985,1,440,41,97,16,1,19,56,1,4,57,62,5,2,4,2,6,0.220454545454545
"96","brennto01",1985,1,8,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0.125
"97","brettge01",1985,1,550,108,184,38,5,30,112,9,1,103,49,31,3,0,9,12,0.334545454545455
"98","brockgr01",1985,1,438,64,110,19,0,21,66,4,2,54,72,4,0,2,2,9,0.251141552511416
"99","brookhu01",1985,1,605,67,163,34,7,13,100,6,9,34,79,6,5,0,8,20,0.269421487603306
"100","brookto01",1985,1,485,54,115,34,6,7,47,14,5,27,78,0,0,9,1,8,0.237113402061856
"101","brouhma01",1985,1,108,11,28,7,2,1,13,0,0,5,26,1,1,1,0,2,0.259259259259259
"102","brownbo04",1985,1,84,8,13,3,0,0,6,6,4,5,20,0,0,1,1,2,0.154761904761905
"103","brownch02",1985,1,432,50,117,20,3,16,61,2,3,38,78,4,11,1,0,19,0.270833333333333
"104","brownma02",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105","brownmi01",1985,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106","brownmi02",1985,1,153,23,41,9,1,4,20,0,1,7,21,0,1,3,0,9,0.26797385620915
"107","brownmi02",1985,2,205,29,68,18,2,5,33,2,2,22,27,4,0,3,3,7,0.331707317073171
"108","brownto05",1985,1,88,4,17,2,1,0,2,0,0,4,29,0,0,9,0,2,0.193181818181818
"109","brummgl01",1985,1,108,7,30,4,0,0,5,1,5,11,22,1,2,0,0,2,0.277777777777778
"110","brunato01",1985,1,567,71,137,28,4,27,90,5,3,71,86,7,0,0,13,12,0.241622574955908
"111","brusswa01",1985,1,7,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0.142857142857143
"112","bryanra01",1985,1,6,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0.333333333333333
"113","buchabo01",1985,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114","bucknbi01",1985,1,673,89,201,46,3,16,110,18,4,30,36,5,2,2,11,16,0.298662704309064
"115","buechst01",1985,1,219,22,48,6,3,6,21,3,2,14,38,2,2,0,1,11,0.219178082191781
