"","playerID","yearID","stint","POS","G","GS","InnOuts","PO","A","E","DP"
"1","aasedo01",1985,1,"P",54,0,264,8,10,0,0
"2","abregjo01",1985,1,"P",6,5,72,1,6,1,0
"3","ackerji01",1985,1,"P",61,0,259,10,16,0,1
"4","adamsri02",1985,1,"2B",6,3,84,9,13,1,1
"5","adamsri02",1985,1,"3B",16,10,337,2,31,1,3
"6","adamsri02",1985,1,"SS",25,19,476,24,57,3,9
"7","agostju01",1985,1,"P",54,0,181,10,15,1,0
"8","aguaylu01",1985,1,"2B",17,3,192,27,25,1,5
"9","aguaylu01",1985,1,"3B",7,3,126,4,16,0,1
"10","aguaylu01",1985,1,"SS",60,36,1052,61,117,8,21
"11","aguilri01",1985,1,"P",21,19,367,8,16,0,1
"12","alexado01",1985,1,"P",36,36,782,28,32,1,4
"13","allenga01",1985,1,"C",14,11,271,39,2,0,0
"14","allenne01",1985,1,"P",23,1,87,2,5,0,0
"15","allenne01",1985,2,"P",17,0,88,3,3,0,0
"16","almonbi01",1985,1,"1B",7,3,74,25,1,2,3
"17","almonbi01",1985,1,"3B",7,4,111,2,4,1,0
"18","almonbi01",1985,1,"OF",32,23,507,27,2,0,0
"19","almonbi01",1985,1,"SS",43,31,920,50,101,2,19
"20","anderda02",1985,1,"2B",2,1,36,4,2,0,1
"21","anderda02",1985,1,"3B",51,39,1100,28,107,6,10
"22","anderda02",1985,1,"SS",25,20,566,29,78,3,9
"23","anderla02",1985,1,"P",57,0,219,5,21,2,2
"24","andujjo01",1985,1,"P",38,38,809,8,45,6,8
"25","armasto01",1985,1,"OF",79,79,1962,173,3,3,1
"26","armstmi01",1985,1,"P",9,0,44,1,1,0,0
"27","ashbyal01",1985,1,"C",60,55,1414,312,37,8,1
"28","atherke01",1985,1,"P",56,0,314,4,6,1,0
"29","ayalabe01",1985,1,"OF",20,19,294,21,1,2,0
"30","backmwa01",1985,1,"2B",140,122,3384,272,370,7,76
