"","teamID","yearID","Rostercost","meansalary","rostersize"
"1","ANA",1997,31135472,1004370.06451613,31
"2","ANA",1998,41281000,1214147.05882353,34
"3","ANA",1999,55388166,1384704.15,40
"4","ANA",2000,51464167,1715472.23333333,30
"5","ANA",2001,47535167,1584505.56666667,30
"6","ANA",2002,61721667,2204345.25,28
"7","ANA",2003,79031667,2927098.77777778,27
"8","ANA",2004,100534667,3723506.18518519,27
"9","ARI",1998,32347000,898527.777777778,36
"10","ARI",1999,68703999,2020705.85294118,34
"11","ARI",2000,81027833,2893851.17857143,28
"12","ARI",2001,85082999,3038678.53571429,28
"13","ARI",2002,102819999,3115757.54545455,33
"14","ARI",2003,80657000,3226280,25
"15","ARI",2004,69780750,2406232.75862069,29
"16","ARI",2005,62329166,2308487.62962963,27
"17","ARI",2006,59684226,2295547.15384615,26
"18","ARI",2007,52067546,1859555.21428571,28
"19","ARI",2008,66202712,2364382.57142857,28
"20","ARI",2009,73115666,2812141,26
"21","ARI",2010,60718166,2335314.07692308,26
"22","ARI",2011,53639833,1986660.48148148,27
"23","ARI",2012,73804833,2733512.33333333,27
"24","ARI",2013,90132000,3004400,30
"25","ARI",2014,97861500,3763903.84615385,26
"26","ARI",2015,61834000,2132206.89655172,29
"27","ARI",2016,87439063,3363040.88461538,26
"28","ATL",1985,14807000,673045.454545455,22
"29","ATL",1986,17102786,589751.24137931,29
"30","ATL",1987,16544560,517017.5,32
"31","ATL",1988,12728174,438902.551724138,29
"32","ATL",1989,11112334,370411.133333333,30
"33","ATL",1990,14555501,454859.40625,32
"34","ATL",1991,18403500,736140,25
"35","ATL",1992,34625333,1116946.22580645,31
"36","ATL",1993,41641417,1261861.12121212,33
"37","ATL",1994,49383513,1646117.1,30
"38","ATL",1995,47235445,1628808.44827586,29
"39","ATL",1996,49698500,1656616.66666667,30
"40","ATL",1997,52278500,1686403.22580645,31
"41","ATL",1998,61186000,1912062.5,32
"42","ATL",1999,73140000,2522068.96551724,29
"43","ATL",2000,84537836,2817927.86666667,30
"44","ATL",2001,91936166,2965682.77419355,31
"45","ATL",2002,92870367,3316798.82142857,28
"46","ATL",2003,106243667,3934950.62962963,27
"47","ATL",2004,90182500,3220803.57142857,28
"48","ATL",2005,86457302,3458292.08,25
"49","ATL",2006,90156876,3108857.79310345,29
"50","ATL",2007,87290833,3117529.75,28
"51","ATL",2008,102365683,3412189.43333333,30
"52","ATL",2009,96726166,3335385.03448276,29
"53","ATL",2010,84423666,3126802.44444444,27
"54","ATL",2011,87002692,3346257.38461538,26
"55","ATL",2012,82829942,2856204.89655172,29
"56","ATL",2013,87871525,3254500.92592593,27
"57","ATL",2014,97609000,4067041.66666667,24
"58","ATL",2015,71781250,2990885.41666667,24
"59","ATL",2016,68498291,2362010.03448276,29
"60","BAL",1985,11560712,525486.909090909,22
"61","BAL",1986,13001258,448319.24137931,29
"62","BAL",1987,13900273,463342.433333333,30
"63","BAL",1988,13532075,501187.962962963,27
"64","BAL",1989,8275167,318275.653846154,26
"65","BAL",1990,9680084,261623.891891892,37
"66","BAL",1991,17519000,565129.032258064,31
"67","BAL",1992,23780667,720626.272727273,33
"68","BAL",1993,29096500,909265.625,32
"69","BAL",1994,38849769,1253218.35483871,31
"70","BAL",1995,43942521,1187635.7027027,37
"71","BAL",1996,54490315,1702822.34375,32
"72","BAL",1997,58516400,2017806.89655172,29
"73","BAL",1998,72355634,2411854.46666667,30
"74","BAL",1999,80605863,2303024.65714286,35
"75","BAL",2000,81447435,2808532.24137931,29
"76","BAL",2001,67599540,2331018.62068966,29
"77","BAL",2002,60493487,1890421.46875,32
"78","BAL",2003,73877500,2547500,29
"79","BAL",2004,51623333,1843690.46428571,28
"80","BAL",2005,73914333,2639797.60714286,28
